stage,experiment,kernel,degree,C,gamma,class_weight,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,test_inference_ms_per_image,support_vectors,train_time_sec,note,test_macro_precision,test_macro_recall,test_weighted_f1,val_macro_precision,val_macro_recall,val_weighted_f1,val_inference_ms_per_image
Phase 2-New,TN2 - Grid Search rbf C=100.0 gamma=0.1,rbf,,100.0,0.1,balanced,0.12985436893203883,0.004890646068057682,,,,7035.0,27.24456200003624,Validation-only experiment,,,,0.002762858913447635,0.02127659574468085,0.029848372665366604,3.763501820305941
Phase 2-New,TN2 - Grid Search rbf C=200.0 gamma=scale,rbf,,200.0,scale,balanced,0.9672330097087378,0.9577360704863276,,,,5338.0,6.219752500066534,Validation-only experiment,,,,0.964425553534719,0.9524378126961041,0.9660700475297648,3.040455825382717
Phase 2-New,TN2 - Grid Search rbf C=200.0 gamma=auto,rbf,,200.0,auto,balanced,0.9271844660194175,0.8863162666911112,,,,6197.0,17.333041100064293,Validation-only experiment,,,,0.9569897708827532,0.8484487789979803,0.924912692415105,3.266703033959945
Phase 2-New,TN2 - Grid Search rbf C=200.0 gamma=0.0005,rbf,,200.0,0.0005,balanced,0.9672330097087378,0.9577360704863276,,,,5259.0,5.22277870005928,Validation-only experiment,,,,0.964425553534719,0.9524378126961041,0.9660700475297648,2.6651898057661154
Phase 2-New,TN2 - Grid Search rbf C=200.0 gamma=0.001,rbf,,200.0,0.001,balanced,0.9587378640776699,0.9453465214700826,,,,5676.0,8.472598400199786,Validation-only experiment,,,,0.9637044579356044,0.932253900093135,0.9574663213886135,2.9451462377464055
Phase 2-New,TN2 - Grid Search rbf C=200.0 gamma=0.005,rbf,,200.0,0.005,balanced,0.35315533980582525,0.23959870099715422,,,,6981.0,23.68703670008108,Validation-only experiment,,,,0.5102227606164614,0.1925709969877216,0.32886689951378695,3.475660558516449
Phase 2-New,TN2 - Grid Search rbf C=200.0 gamma=0.01,rbf,,200.0,0.01,balanced,0.15655339805825244,0.030814278487156666,,,,7034.0,26.33843129989691,Validation-only experiment,,,,0.1304982225287844,0.036022103774185174,0.07716976850114245,3.577328640831978
Phase 2-New,TN2 - Grid Search rbf C=200.0 gamma=0.05,rbf,,200.0,0.05,balanced,0.12985436893203883,0.004890646068057682,,,,7035.0,23.615534499986097,Validation-only experiment,,,,0.002762858913447635,0.02127659574468085,0.029848372665366604,3.5711334952157787
Phase 2-New,TN2 - Grid Search rbf C=200.0 gamma=0.1,rbf,,200.0,0.1,balanced,0.12985436893203883,0.004890646068057682,,,,7035.0,23.224765099817887,Validation-only experiment,,,,0.002762858913447635,0.02127659574468085,0.029848372665366604,3.59880400497186
Phase 2-New,TN2 - Linear Tune C=0.1,linear,,0.1,N/A,balanced,0.9672330097087378,0.9730035022662098,,,,4514.0,2.4599625999107957,Validation-only experiment,,,,0.9852882200430461,0.9651999645159731,0.967170726855738,1.4888009709731034
