stage,experiment,kernel,degree,C,gamma,class_weight,train_time_sec,support_vectors,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_inference_ms_per_image
Phase 2-New,TN2 - Grid Search rbf C=10.0 gamma=0.0005,rbf,,10.0,0.0005,balanced,5.366368999937549,5253,0.9672330097087378,0.964425553534719,0.9524378126961041,0.9577360704863276,0.9660700475297648,2.7581669903898303
Phase 2-New,TN2 - Grid Search rbf C=10.0 gamma=0.001,rbf,,10.0,0.001,balanced,8.983390599954873,5676,0.9587378640776699,0.9637044579356044,0.932253900093135,0.9453465214700826,0.9574663213886135,2.945783009494935
Phase 2-New,TN2 - Grid Search rbf C=10.0 gamma=0.005,rbf,,10.0,0.005,balanced,24.283002199837938,6981,0.35315533980582525,0.5102227606164614,0.1925709969877216,0.23959870099715422,0.32886689951378695,3.543702427193848
Phase 2-New,TN2 - Grid Search rbf C=10.0 gamma=0.01,rbf,,10.0,0.01,balanced,23.193796900101006,7034,0.15655339805825244,0.1304982225287844,0.036022103774185174,0.030814278487156666,0.07716976850114245,3.5644695385996688
Phase 2-New,TN2 - Grid Search rbf C=10.0 gamma=0.05,rbf,,10.0,0.05,balanced,22.91491900011897,7035,0.12985436893203883,0.002762858913447635,0.02127659574468085,0.004890646068057682,0.029848372665366604,3.5867757280922303
Phase 2-New,TN2 - Grid Search rbf C=10.0 gamma=0.1,rbf,,10.0,0.1,balanced,23.247164400061592,7035,0.12985436893203883,0.002762858913447635,0.02127659574468085,0.004890646068057682,0.029848372665366604,3.6137391989982857
Phase 2-New,TN2 - Grid Search rbf C=25.0 gamma=scale,rbf,,25.0,scale,balanced,5.618583200033754,5338,0.9672330097087378,0.964425553534719,0.9524378126961041,0.9577360704863276,0.9660700475297648,2.736607766811944
Phase 2-New,TN2 - Grid Search rbf C=25.0 gamma=auto,rbf,,25.0,auto,balanced,15.798752899980173,6197,0.9271844660194175,0.9569897708827532,0.8484487789979803,0.8863162666911112,0.924912692415105,3.1393322815612246
Phase 2-New,TN2 - Grid Search rbf C=25.0 gamma=0.0005,rbf,,25.0,0.0005,balanced,5.0638971999287605,5259,0.9672330097087378,0.964425553534719,0.9524378126961041,0.9577360704863276,0.9660700475297648,2.667928519443998
Phase 2-New,TN2 - Grid Search rbf C=25.0 gamma=0.001,rbf,,25.0,0.001,balanced,8.667133699869737,5678,0.9587378640776699,0.9637044579356044,0.932253900093135,0.9453465214700826,0.9574663213886135,2.890924271817762
Phase 2-New,TN2 - Grid Search rbf C=25.0 gamma=0.005,rbf,,25.0,0.005,balanced,22.949630999937654,6981,0.35315533980582525,0.5102227606164614,0.1925709969877216,0.23959870099715422,0.32886689951378695,3.5316230583985706
Phase 2-New,TN2 - Grid Search rbf C=25.0 gamma=0.01,rbf,,25.0,0.01,balanced,23.231122799916193,7034,0.15655339805825244,0.1304982225287844,0.036022103774185174,0.030814278487156666,0.07716976850114245,3.568443446533158
Phase 2-New,TN2 - Grid Search rbf C=25.0 gamma=0.05,rbf,,25.0,0.05,balanced,23.229030199814588,7035,0.12985436893203883,0.002762858913447635,0.02127659574468085,0.004890646068057682,0.029848372665366604,3.5429819175087425
Phase 2-New,TN2 - Grid Search rbf C=25.0 gamma=0.1,rbf,,25.0,0.1,balanced,23.160661899950355,7035,0.12985436893203883,0.002762858913447635,0.02127659574468085,0.004890646068057682,0.029848372665366604,3.544816383368616
Phase 2-New,TN2 - Grid Search rbf C=50.0 gamma=scale,rbf,,50.0,scale,balanced,5.543056200025603,5344,0.9672330097087378,0.964425553534719,0.9524378126961041,0.9577360704863276,0.9660700475297648,2.7064872573319714
Phase 2-New,TN2 - Grid Search rbf C=50.0 gamma=auto,rbf,,50.0,auto,balanced,15.48506350000389,6197,0.9271844660194175,0.9569897708827532,0.8484487789979803,0.8863162666911112,0.924912692415105,3.112609829929956
Phase 2-New,TN2 - Grid Search rbf C=50.0 gamma=0.0005,rbf,,50.0,0.0005,balanced,5.069934499915689,5260,0.9672330097087378,0.964425553534719,0.9524378126961041,0.9577360704863276,0.9660700475297648,2.65313495143805
Phase 2-New,TN2 - Grid Search rbf C=50.0 gamma=0.001,rbf,,50.0,0.001,balanced,12.88440790004097,5676,0.9587378640776699,0.9637044579356044,0.932253900093135,0.9453465214700826,0.9574663213886135,2.928654490054576
Phase 2-New,TN2 - Grid Search rbf C=50.0 gamma=0.005,rbf,,50.0,0.005,balanced,23.398922000080347,6981,0.35315533980582525,0.5102227606164614,0.1925709969877216,0.23959870099715422,0.32886689951378695,3.665951092205309
Phase 2-New,TN2 - Grid Search rbf C=50.0 gamma=0.01,rbf,,50.0,0.01,balanced,23.630461799912155,7034,0.15655339805825244,0.1304982225287844,0.036022103774185174,0.030814278487156666,0.07716976850114245,3.7185173542170955
Phase 2-New,TN2 - Grid Search rbf C=50.0 gamma=0.05,rbf,,50.0,0.05,balanced,28.866138900164515,7035,0.12985436893203883,0.002762858913447635,0.02127659574468085,0.004890646068057682,0.029848372665366604,3.6554910192826706
Phase 2-New,TN2 - Grid Search rbf C=50.0 gamma=0.1,rbf,,50.0,0.1,balanced,23.019669400062412,7035,0.12985436893203883,0.002762858913447635,0.02127659574468085,0.004890646068057682,0.029848372665366604,3.5517849514116215
Phase 2-New,TN2 - Grid Search rbf C=100.0 gamma=scale,rbf,,100.0,scale,balanced,5.96139770001173,5338,0.9672330097087378,0.964425553534719,0.9524378126961041,0.9577360704863276,0.9660700475297648,3.1287651701188346
Phase 2-New,TN2 - Grid Search rbf C=100.0 gamma=auto,rbf,,100.0,auto,balanced,17.314135699998587,6197,0.9271844660194175,0.9569897708827532,0.8484487789979803,0.8863162666911112,0.924912692415105,3.292515776707854
Phase 2-New,TN2 - Grid Search rbf C=100.0 gamma=0.0005,rbf,,100.0,0.0005,balanced,5.557591600110754,5259,0.9672330097087378,0.964425553534719,0.9524378126961041,0.9577360704863276,0.9660700475297648,2.8481819173569782
Phase 2-New,TN2 - Grid Search rbf C=100.0 gamma=0.001,rbf,,100.0,0.001,balanced,9.610275899991393,5676,0.9587378640776699,0.9637044579356044,0.932253900093135,0.9453465214700826,0.9574663213886135,3.0417472086801616
Phase 2-New,TN2 - Grid Search rbf C=100.0 gamma=0.005,rbf,,100.0,0.005,balanced,27.188818200025707,6981,0.35315533980582525,0.5102227606164614,0.1925709969877216,0.23959870099715422,0.32886689951378695,3.782309101808599
Phase 2-New,TN2 - Grid Search rbf C=100.0 gamma=0.01,rbf,,100.0,0.01,balanced,26.57768650003709,7034,0.15655339805825244,0.1304982225287844,0.036022103774185174,0.030814278487156666,0.07716976850114245,3.793254004988042
Phase 2-New,TN2 - Grid Search rbf C=100.0 gamma=0.05,rbf,,100.0,0.05,balanced,25.113862399943173,7035,0.12985436893203883,0.002762858913447635,0.02127659574468085,0.004890646068057682,0.029848372665366604,3.864036771825976
Phase 2-New,TN2 - Grid Search rbf C=100.0 gamma=0.1,rbf,,100.0,0.1,balanced,27.24456200003624,7035,0.12985436893203883,0.002762858913447635,0.02127659574468085,0.004890646068057682,0.029848372665366604,3.763501820305941
Phase 2-New,TN2 - Grid Search rbf C=200.0 gamma=scale,rbf,,200.0,scale,balanced,6.219752500066534,5338,0.9672330097087378,0.964425553534719,0.9524378126961041,0.9577360704863276,0.9660700475297648,3.040455825382717
Phase 2-New,TN2 - Grid Search rbf C=200.0 gamma=auto,rbf,,200.0,auto,balanced,17.333041100064293,6197,0.9271844660194175,0.9569897708827532,0.8484487789979803,0.8863162666911112,0.924912692415105,3.266703033959945
Phase 2-New,TN2 - Grid Search rbf C=200.0 gamma=0.0005,rbf,,200.0,0.0005,balanced,5.22277870005928,5259,0.9672330097087378,0.964425553534719,0.9524378126961041,0.9577360704863276,0.9660700475297648,2.6651898057661154
Phase 2-New,TN2 - Grid Search rbf C=200.0 gamma=0.001,rbf,,200.0,0.001,balanced,8.472598400199786,5676,0.9587378640776699,0.9637044579356044,0.932253900093135,0.9453465214700826,0.9574663213886135,2.9451462377464055
Phase 2-New,TN2 - Grid Search rbf C=200.0 gamma=0.005,rbf,,200.0,0.005,balanced,23.68703670008108,6981,0.35315533980582525,0.5102227606164614,0.1925709969877216,0.23959870099715422,0.32886689951378695,3.475660558516449
Phase 2-New,TN2 - Grid Search rbf C=200.0 gamma=0.01,rbf,,200.0,0.01,balanced,26.33843129989691,7034,0.15655339805825244,0.1304982225287844,0.036022103774185174,0.030814278487156666,0.07716976850114245,3.577328640831978
Phase 2-New,TN2 - Grid Search rbf C=200.0 gamma=0.05,rbf,,200.0,0.05,balanced,23.615534499986097,7035,0.12985436893203883,0.002762858913447635,0.02127659574468085,0.004890646068057682,0.029848372665366604,3.5711334952157787
Phase 2-New,TN2 - Grid Search rbf C=200.0 gamma=0.1,rbf,,200.0,0.1,balanced,23.224765099817887,7035,0.12985436893203883,0.002762858913447635,0.02127659574468085,0.004890646068057682,0.029848372665366604,3.59880400497186
